track_artist,n_tracks,n_albums,playlist_reach,n_genres,n_subgenres,avg_popularity,max_popularity,std_popularity,latest_release,dominant_genre,dominant_subgenre,avg_danceability,avg_energy,avg_loudness,avg_speechiness,avg_acousticness,avg_instrumentalness,avg_liveness,avg_valence,avg_tempo,days_since_release,recency_score,campaign_lift_score,relevance_grade,artist_id
!deladap,4,3,2,2,2,25.25,38,15.945218719101975,2019-11-22,edm,electro house,0.7,0.86525,-5.1245,0.08007500000000001,0.079925,0.01815,0.11882500000000001,0.7150000000000001,115.74175,59,0.8608490566037735,0.1605226579593828,5,!deladap
$ANFI,3,2,1,1,1,14.0,16,2.0,2019-02-23,rap,gangster rap,0.766,0.6303333333333333,-7.802,0.2996666666666667,0.28800000000000003,2.39e-06,0.18006666666666668,0.37033333333333335,120.66033333333333,331,0.5244252873563218,-1.6355351624012808,0,$ANFI
$uicideBoy$,28,15,4,1,2,58.92857142857143,77,15.275079126735886,2018-09-07,rap,gangster rap,0.7619285714285714,0.6767142857142857,-5.943071428571429,0.14610714285714285,0.17935571428571428,0.08414802249999999,0.20096785714285717,0.24957500000000002,117.893,500,0.4219653179190751,1.1849284778883886,8,$uicideBoy$
'Til Tuesday,2,2,2,1,2,29.5,54,34.64823227814083,1985-06-25,rock,album rock,0.5874999999999999,0.5145,-11.195,0.024300000000000002,0.03715,1.725e-06,0.155,0.607,105.10849999999999,12627,0.028094211822660097,-0.1936699072217518,4,'Til Tuesday
*NSYNC,3,3,3,3,3,56.0,71,14.106735979665885,2005-10-25,edm,dance pop,0.581,0.8039999999999999,-5.088,0.043833333333333335,0.1597666666666667,0.0004753333333333333,0.16756666666666667,0.7040000000000001,132.168,5200,0.06558849955076371,-1.4173492130953238,0,*NSYNC
.Sinh,3,3,2,1,1,51.333333333333336,55,3.214550253664319,2019-12-27,rap,hip hop,0.6446666666666666,0.21,-16.705333333333332,0.13656666666666667,0.5559999999999999,0.872,0.08650000000000001,0.474,107.79033333333332,24,0.9383033419023137,-1.4621529065783445,0,.Sinh
015B,2,2,1,1,1,32.0,34,2.8284271247461903,2019-06-18,edm,pop edm,0.482,0.6134999999999999,-5.838,0.048600000000000004,0.394,0.00211,0.28165,0.405,117.559,216,0.6282271944922547,-0.5174632771766122,3,015B
11 Acorn Lane,5,5,2,1,1,35.4,43,9.09945053286186,2019-06-20,edm,electro house,0.7323999999999999,0.8996000000000001,-4.2128,0.12323999999999999,0.10182,0.0039648,0.30038,0.7278,125.38220000000001,214,0.6303972366148531,-0.11969793568016213,4,11 Acorn Lane
112,4,3,3,1,2,43.5,60,29.03446228191595,2005-10-04,r&b,new jack swing,0.71475,0.49575,-7.4775,0.214,0.105335,0.0,0.097825,0.8015,169.7105,5221,0.06534192624418189,-0.3362326190262924,4,112
18 Karat,9,5,2,1,1,33.0,53,20.279299790673246,2018-05-04,rap,gangster rap,0.6647777777777777,0.77,-4.5695555555555565,0.36666666666666664,0.11225555555555555,0.0,0.16525555555555554,0.4726666666666666,115.11366666666666,626,0.36831483350151356,-0.9830069335342506,1,18 Karat
187 Strassenbande,3,3,2,1,1,17.0,50,28.583211855912904,2017-07-18,rap,gangster rap,0.5813333333333333,0.7336666666666667,-5.822333333333333,0.27366666666666667,0.1435,0.0,0.26293333333333335,0.408,108.557,916,0.2849336455893833,-0.22773858255231805,3,187 Strassenbande
1986 Omega Tribe,9,2,1,1,1,30.77777777777778,45,7.917982346813135,1987-02-04,r&b,neo soul,0.6865555555555556,0.6234444444444445,-13.449222222222224,0.031655555555555555,0.3594111111111111,0.029076057777777775,0.15532222222222222,0.8260000000000001,122.46233333333333,12038,0.029428364105458356,-0.14710587045717605,5,1986 Omega Tribe
1Kilo,7,7,2,2,2,51.857142857142854,61,6.335839103296196,2019-09-27,r&b,hip pop,0.7004285714285714,0.7064285714285715,-6.393428571428571,0.1151857142857143,0.31655714285714287,5.688428571428571e-05,0.1413142857142857,0.5860000000000001,100.54071428571429,115,0.7604166666666667,0.4975741408037798,7,1Kilo
